stimmberechtigt,Jahr
64,2018
64,2017
64,2016
64,2015
64,2014
65,2013
65,2012
65,2011
65,2010
65,2009
65,2008
65,2007
65,2006
65,2005
65,2004
65,2003
65,2002
65,2001
65,2000
65,1999
65,1998
65,1997
65,1996
65,1995
65,1994
65,1993
66,1992
66,1991
64,1990
65,1989
65,1988
65,1987
65,1986
64,1985
64,1984
63,1983
63,1982
62,1981
62,1980
61,1979
61,1978
61,1977
60,1976
59,1975
58,1974
58,1973
58,1972
57,1971
27,1970
26,1969
26,1968
26,1967
27,1966
26,1965
27,1964
27,1963
27,1962
27,1961
28,1960
28,1959
28,1958
28,1957
29,1956
29,1955
29,1954
29,1953
29,1952
29,1951
30,1950
30,1949
30,1948
30,1947
30,1946
30,1945
30,1944
30,1942
29,1941
29,1940
29,1939
29,1938
29,1937
29,1935
28,1934
28,1933
27,1931
27,1930
27,1929
26,1928
26,1927
26,1926
26,1925
25,1924
25,1923
25,1922
25,1921
25,1920
24,1919
24,1918
23,1917
23,1915
22,1914
22,1913
22,1912
22,1910
22,1908
22,1907
22,1906
22,1905
22,1903
22,1902
23,1900
23,1898
22,1897
23,1896
22,1895
22,1894
22,1893
22,1891
22,1890
22,1889
22,1887
22,1884
22,1879
