country EN,AR,difference,asylum applicants,share population,FR,DE,IT,ES,PT,RU,JP,ZH
Austria,النمسا,-25,12490,16612,Autriche,Österreich,Austria,Austria,Áustria,Австрия,オーストリア,奥地利
Belgium,بلجيكا,38,27460,19931,Belgique,Belgien,Belgio,Bélgica,Bélgica,Бельгия,ベルギー,比利时
Bulgaria,بلغاريا,-9,2150,2357,Bulgarie,Bulgarien,Bulgaria,Bulgaria,Bulgária,Болгария,ブルガリア,保加利亚
Croatia,كرواتيا,-36,1400,2201,Croatie,Kroatien,Croazia,Croacia,Croácia,Хорватия,クロアチア,克罗地亚
Cyprus,قبرص,1429,13650,893,Chypre,Zypern,Cipro,Chipre,Chipre,Кипр,キプロス,塞浦路斯
Czech Republic,جمهورية التشيك,-78,1915,8628,République tchèque,Tschechische Republik,Repubblica Ceca,República Checa,República Checa,Чешская Республика,チェコ共和国,捷克共和国
Denmark,الدنمارك,-79,2700,13071,Danemark,Dänemark,Danimarca,Dinamarca,Dinamarca,Дания,デンマーク,丹麦
Estonia,إستونيا,-90,105,1077,Estonie,Estland,Estonia,Estonia,Estónia,Эстония,エストニア,爱沙尼亚
Finland,فنلندا,-55,4520,10114,Finlande,Finnland,Finlandia,Finlandia,Finlândia,Финляндия,フィンランド,芬兰
France,فرنسا,25,128940,102925,France,Frankreich,Francia,Francia,França,Франция,フランス,法国
Germany,ألمانيا,14,165615,144898,Allemagne,Deutschland,Germania,Alemania,Alemanha,Германия,ドイツ,德国
Greece,اليونان,853,77275,8110,Grèce,Griechenland,Grecia,Grecia,Grécia,Греция,ギリシャ,希腊
Hungary,هنغاريا,-91,500,5645,Hongrie,Ungarn,Ungheria,Hungría,Hungria,Венгрия,ハンガリー,匈牙利
Iceland,أيسلندا,-5,845,890,Islande,Island,Islanda,Islandia,Islândia,Исландия,アイスランド,冰岛
Ireland,أيرلندا,-64,4780,13451,Irlande,Irland,Irlanda,Irlanda,Irlanda,Ирландия,アイルランド,爱尔兰
Italy,إيطاليا,-43,43770,77344,Italie,Italien,Italia,Italia,Itália,Италия,イタリア,意大利
Latvia,لاتفيا,-84,195,1216,Lettonie,Lettland,Lettonia,Letonia,Letónia,Латвия,ラトビア,拉脱维亚
Lithuania,ليتوانيا,-66,645,1898,Lituanie,Litauen,Lituania,Lituania,Lituânia,Литва,リトアニア,立陶宛
Luxembourg,لوكسمبورغ,-9,2270,2504,Luxembourg,Luxemburg,Lussemburgo,Luxemburgo,Luxemburgo,Люксембург,ルクセンブルク,卢森堡
Malta,مالطا,703,4085,509,Malte,Malta,Malta,Malta,Malta,Мальта,マルタ,马耳他
Netherlands,هولندا,-24,25200,33306,Pays-Bas,Niederlande,Paesi Bassi,Países Bajos,Países Baixos,Нидерланды,ネザーランド,荷兰
Norway,النرويج,-86,2265,15765,Norvège,Norwegen,Norvegia,Noruega,Noruega,Норвегия,ノルウェー,挪威
Poland,بولندا,-81,4070,21011,Pologne,Polen,Polonia,Polonia,Polónia,Польша,ポーランド,波兰
Portugal,البرتغال,-79,1820,8760,Portugal,Portugal,Portogallo,Portugal,Portugal,Португалия,ポルトガル,葡
Romania,رومانيا,-69,2590,8460,Roumanie,Rumänien,Romania,Rumania,Roménia,Румыния,ルーマニア,罗马尼亚
Slovakia,سلوفاكيا,-94,230,3842,Slovaquie,Slowakei,Slovacchia,Eslovaquia,Eslováquia,Словакия,スロバキア,斯洛伐克
Slovenia,سلوفينيا,98,3820,1933,Slovénie,Slowenien,Slovenia,Eslovenia,Eslovénia,Словения,スロベニア,斯洛文尼亚
Spain,إسبانيا,127,117800,51914,Espagne,Spanien,Spagna,España,Espanha,Испания,スペイン,西班牙
Sweden,السويد,25,26255,20997,Suède,Schweden,Svezia,Suecia,Suécia,Швеция,スウェーデン,瑞典
Switzerland,سويسرا,-48,14195,27270,Suisse,Schweiz,Svizzera,Suiza,Suíça,Швейцария,スイス,瑞士
United Kingdom,المملكة المتحدة,-60,44835,110859,Royaume-Uni,Vereinigtes Königreich,Regno Unito,Reino Unido,Reino Unido,Соединённое Королевство,イギリス,联合王国
