"","GSM341241","GSM341242","GSM341243","GSM341244","GSM341245","GSM341246"
"Atp6v0d1",470.0182,484.6338,480.1793,429.7038,420.5993,507.0099
"Golga7",786.303,768.4595,736.6007,726.738,744.4111,720.2919
"Psph",315.2714,324.3319,307.026,320.8162,358.449,326.5844
"Trappc4",625.5927,630.7676,598.4599,653.3558,669.1454,590.9767
"Dpm2",498.8699,499.2329,507.0856,514.892,525.352,501.5364
"Psmb5",680.0323,686.5437,660.9055,667.3651,690.1768,656.4217
"Dhrs1",566.4777,550.2438,503.0486,700.6428,677.2233,614.1259
"Ppm1a",1064.375,1019.208,1021.643,1022.527,1050.607,1048.609
"Psenen",757.9512,771.3859,820.7723,826.2322,784.775,843.1342
"Anapc1",423.2823,432.9496,436.99,394.1112,391.0506,409.9464
"Mrpl43",499.81,455.9532,513.6132,507.43,457.7959,498.9446
"Nmt1",534.8624,509.7861,520.0713,649.7161,586.1787,667.8572
"Atg5",130.0781,116.9771,131.4693,101.6136,106.8985,113.4991
"Mtif2",335.5595,367.2219,320.2968,393.5669,417.6856,349.4199
"Psap",1041.939,968.798,1036.666,825.6339,853.6765,925.0029
"Ube2g1",631.9666,616.1741,633.2523,622.8419,600.8417,620.0689
"Zkscan3",227.6187,254.816,239.9342,222.3407,212.7065,226.4492
"Mrpl27",224.3361,222.0738,238.058,222.586,218.1521,196.5725
"Canx",1126.368,1081.962,1076.203,1121.106,1194.065,1118.075
"Psma1",796.4916,820.4592,794.3103,796.3175,788.5336,766.1527
"Golm1",249.8517,242.2195,294.8521,230.4028,209.3127,269.1782
"Gps1",693.3326,606.41,648.7642,664.2161,638.5922,720.9579
"Ssr3",967.9119,988.4739,1018.633,903.0388,963.74,903.4144
"Ctbp1",485.6381,511.7931,629.0401,519.4501,506.1928,602.5445
"Huwe1",480.7836,462.395,499.6582,398.8402,369.2189,460.3654
"Cdv3",955.2659,900.5714,971.6309,895.1953,916.605,849.4523
"Copa",954.1306,899.0909,919.4979,871.3581,926.5421,938.1439
"Anapc2",478.465,474.6216,496.9752,463.6833,444.571,483.0059
"Tug1",729.8383,694.4781,710.0593,639.5376,727.5408,701.9492
"Gbf1",307.4303,333.2615,339.5329,394.6926,336.9796,398.6844
"Cox18",192.052,160.0407,201.3826,187.899,153.1741,176.256
"Arfgef1",772.0975,761.447,737.5049,744.0431,811.3505,773.9025
"Zranb1",826.6642,824.8777,803.8578,837.407,880.0748,855.0681
"Ddx24",384.8794,360.4846,380.4878,373.1589,348.3908,388.143
"Tmem129",554.3553,570.5315,490.1214,581.8334,531.9873,558.5617
"Rnf220",468.0154,476.6247,433.5115,470.6803,489.6852,459.1573
"Sap30l",173.087,157.0991,189.4578,150.068,123.8078,156.6434
"Armc1",427.0605,437.6624,501.7968,534.248,445.4818,405.0602
"Mad2l1bp",90.48611,94.18921,110.2312,120.9622,108.8301,106.6555
"Naa60",149.6292,137.6666,162.8951,137.1848,115.1868,150.6182
"Vta1",435.5888,457.9405,519.2688,433.914,421.4356,453.1912
"Eif5",1324.711,1287.937,1186.883,1234.563,1293.233,1295.79
"Rrn3",748.3892,789.8549,674.1597,720.8197,762.8992,694.0771
"Ankrd17",797.5374,758.9947,793.8494,693.5364,712.8378,756.9139
"Naxe",700.864,685.6679,706.9523,729.6628,742.3016,679.3903
"Pdpk1",722.3029,772.7747,724.2189,775.2132,855.0969,731.4922
"Cpsf7",1120.791,1144.534,1055.847,1074.207,1152.982,1060.776
"Rab7",996.0594,957.349,1070.516,922.5511,985.854,920.399
"Ddb1",553.5003,500.928,479.7132,532.6284,512.5153,517.85
"Rfk",388.4989,408.1369,430.6459,357.0797,359.4498,353.4839
"Txndc12",457.6892,412.1769,402.3968,448.7596,463.8879,512.9294
"Rbm42",423.5051,355.7445,426.3,399.618,358.7863,410.1461
"Psmc5",662.6481,654.9895,654.0334,680.6017,661.447,660.1282
"Tmem165",407.8614,389.1166,362.8381,377.5385,392.3172,353.2414
"Aup1",560.5982,578.6333,586.3628,589.4905,588.4736,586.5903
"Hdac5",74.32726,88.98558,112.2426,82.85803,66.91266,84.92071
"Pfdn6",453.4962,449.1741,406.3368,501.3707,468.5631,464.4969
"Vps26c",160.9145,175.3192,162.3659,142.6691,148.1739,169.3364
"Cic",251.2689,251.0085,248.9063,224.0943,199.5756,253.323
"Dctn5",582.4616,630.9395,595.039,610.4722,608.8417,581.4888
"Rragc",675.2504,624.3955,641.3669,619.9947,662.0533,630.7106
"Tbl3",358.9018,341.1376,305.9929,346.4671,375.6669,357.3262
"Hp1bp3",557.27,504.2807,535.8941,456.0353,458.8654,489.8127
"BC031181",772.7567,762.4755,765.1497,732.0577,755.342,752.6505
"Abhd17a",233.9268,218.3819,227.8236,254.7558,230.5875,265.0802
"Polr2f",134.4112,129.5195,136.2294,110.2889,104.6276,111.4011
"Ube2v1",307.976,320.7899,331.6785,290.1506,281.3577,301.5715
"Fryl",765.4312,682.8824,746.7986,611.9057,653.0308,651.4695
"Atox1",565.1158,580.8906,647.4451,621.545,580.5905,580.106
"Tmem234",563.8434,525.5169,546.6782,536.5524,499.7504,546.9481
"Sec22b",688.4182,716.5089,676.8997,680.2059,702.5499,673.5365
"Ube2r2",334.0707,310.8185,344.3986,285.8587,288.649,337.3498
"Itch",520.3263,584.9605,533.1092,547.5787,552.0517,506.3226
"Ncl",991.4794,948.9966,958.0512,846.0089,948.2883,857.6897
"Aldh3a2",484.975,405.6194,489.4952,421.3495,374.7484,410.5891
